Start of log file. Seed: 1680644221
Day 1: 
ExxonMobil - Price: 100.720001     Price change: 0.720001% 
Day 912: 
ExxonMobil - Price: 555098.312500     Price change: -0.639998% 
Shermin-Williams - Price: 767473.437500     Price change: 0.350003% 
Boeing - Price: 152960.015625     Price change: -0.119995% 
Duke Energy - Price: 567877.000000     Price change: 0.610003% 
UnitedHealth Group - Price: 621854.062500     Price change: 2.069998% 
JPMorgan Chase - Price: 497276.156250     Price change: 0.380001% 
McDonalds - Price: 1928469.500000     Price change: -0.360003% 
Coca-Cola - Price: 832697.562500     Price change: 2.449996% 
Microsoft - Price: 512661.687500     Price change: 1.250000% 
AT&T - Price: 769998.875000     Price change: -0.180000% 
Day 913: 
ExxonMobil - Price: 563591.312500     Price change: 1.529999% 
Shermin-Williams - Price: 801779.500000     Price change: 4.470000% 
Boeing - Price: 157640.593750     Price change: 3.060001% 
Duke Energy - Price: 568217.750000     Price change: 0.060004% 
UnitedHealth Group - Price: 665570.375000     Price change: 7.029995% 
JPMorgan Chase - Price: 503591.562500     Price change: 1.270000% 
McDonalds - Price: 1945054.375000     Price change: 0.860002% 
Coca-Cola - Price: 854264.437500     Price change: 2.590001% 
Microsoft - Price: 520659.218750     Price change: 1.560002% 
AT&T - Price: 770922.875000     Price change: 0.120000% 
Day 914: 
ExxonMobil - Price: 566183.812500     Price change: 0.459996% 
Shermin-Williams - Price: 819338.500000     Price change: 2.190004% 
Boeing - Price: 163820.109375     Price change: 3.920003% 
Duke Energy - Price: 573615.812500     Price change: 0.949999% 
UnitedHealth Group - Price: 671294.250000     Price change: 0.859995% 
JPMorgan Chase - Price: 516433.156250     Price change: 2.550002% 
McDonalds - Price: 1938830.250000     Price change: -0.319997% 
Coca-Cola - Price: 845636.375000     Price change: -1.009999% 
Microsoft - Price: 529614.562500     Price change: 1.720001% 
AT&T - Price: 773004.375000     Price change: 0.270001% 
Day 915: 
ExxonMobil - Price: 586736.312500     Price change: 3.630005% 
Shermin-Williams - Price: 800166.000000     Price change: -2.339997% 
Boeing - Price: 164098.609375     Price change: 0.170004% 
Duke Energy - Price: 577975.312500     Price change: 0.760003% 
UnitedHealth Group - Price: 684585.875000     Price change: 1.980000% 
JPMorgan Chase - Price: 520977.781250     Price change: 0.880003% 
McDonalds - Price: 2034608.500000     Price change: 4.940002% 
Coca-Cola - Price: 867453.812500     Price change: 2.580002% 
Microsoft - Price: 536446.562500     Price change: 1.289995% 
AT&T - Price: 792793.312500     Price change: 2.560003% 
Day 916: 
ExxonMobil - Price: 591606.250000     Price change: 0.830004% 
Shermin-Williams - Price: 792644.437500     Price change: -0.940000% 
Boeing - Price: 166018.562500     Price change: 1.170000% 
Duke Energy - Price: 579478.062500     Price change: 0.260002% 
UnitedHealth Group - Price: 671852.562500     Price change: -1.860002% 
JPMorgan Chase - Price: 521811.343750     Price change: 0.160000% 
McDonalds - Price: 2067162.250000     Price change: 1.600001% 
Coca-Cola - Price: 865632.187500     Price change: -0.209997% 
Microsoft - Price: 537090.312500     Price change: 0.120003% 
AT&T - Price: 797153.687500     Price change: 0.550001% 
Day 917: 
ExxonMobil - Price: 618110.187500     Price change: 4.479996% 
Shermin-Williams - Price: 805168.250000     Price change: 1.580004% 
Boeing - Price: 166151.375000     Price change: 0.079999% 
Duke Energy - Price: 578377.062500     Price change: -0.189999% 
UnitedHealth Group - Price: 676824.250000     Price change: 0.739997% 
JPMorgan Chase - Price: 522020.062500     Price change: 0.039999% 
McDonalds - Price: 2108505.500000     Price change: 2.000000% 
Coca-Cola - Price: 866757.500000     Price change: 0.129999% 
Microsoft - Price: 532739.875000     Price change: -0.810001% 
AT&T - Price: 798030.562500     Price change: 0.110001% 
Day 918: 
ExxonMobil - Price: 639373.187500     Price change: 3.440002% 
Shermin-Williams - Price: 802189.125000     Price change: -0.370000% 
Boeing - Price: 166383.984375     Price change: 0.139998% 
Duke Energy - Price: 594976.500000     Price change: 2.870003% 
UnitedHealth Group - Price: 724269.625000     Price change: 7.009999% 
JPMorgan Chase - Price: 526666.062500     Price change: 0.890004% 
McDonalds - Price: 2127482.000000     Price change: 0.899998% 
Coca-Cola - Price: 866410.812500     Price change: -0.039998% 
Microsoft - Price: 547070.562500     Price change: 2.689997% 
AT&T - Price: 804973.437500     Price change: 0.870001% 
Day 919: 
ExxonMobil - Price: 643593.062500     Price change: 0.660002% 
Shermin-Williams - Price: 782695.937500     Price change: -2.429999% 
Boeing - Price: 170593.500000     Price change: 2.530000% 
Duke Energy - Price: 606102.562500     Price change: 1.870000% 
UnitedHealth Group - Price: 750415.750000     Price change: 3.609999% 
JPMorgan Chase - Price: 508654.093750     Price change: -3.419998% 
McDonalds - Price: 2293000.000000     Price change: 7.779995% 
Coca-Cola - Price: 858959.687500     Price change: -0.859999% 
Microsoft - Price: 558832.562500     Price change: 2.149997% 
AT&T - Price: 810688.750000     Price change: 0.710000% 
Day 920: 
ExxonMobil - Price: 646682.312500     Price change: 0.480001% 
Shermin-Williams - Price: 803828.750000     Price change: 2.700003% 
Boeing - Price: 166516.312500     Price change: -2.390002% 
Duke Energy - Price: 629679.937500     Price change: 3.889998% 
UnitedHealth Group - Price: 753642.562500     Price change: 0.430003% 
JPMorgan Chase - Price: 520302.281250     Price change: 2.290002% 
McDonalds - Price: 2251726.000000     Price change: -1.800000% 
Coca-Cola - Price: 865745.500000     Price change: 0.790004% 
Microsoft - Price: 576044.625000     Price change: 3.080004% 
AT&T - Price: 826740.375000     Price change: 1.979998% 
Day 921: 
ExxonMobil - Price: 647781.687500     Price change: 0.170002% 
Shermin-Williams - Price: 805999.062500     Price change: 0.269997% 
Boeing - Price: 166999.203125     Price change: 0.289996% 
Duke Energy - Price: 635410.000000     Price change: 0.909996% 
UnitedHealth Group - Price: 753265.750000     Price change: -0.049999% 
JPMorgan Chase - Price: 518429.187500     Price change: -0.360001% 
McDonalds - Price: 2246321.750000     Price change: -0.240005% 
Coca-Cola - Price: 877259.937500     Price change: 1.330003% 
Microsoft - Price: 584800.500000     Price change: 1.519999% 
AT&T - Price: 836909.312500     Price change: 1.230004% 
Day 922: 
ExxonMobil - Price: 654194.750000     Price change: 0.990004% 
Shermin-Williams - Price: 798583.875000     Price change: -0.920000% 
Boeing - Price: 169387.296875     Price change: 1.430003% 
Duke Energy - Price: 644559.875000     Price change: 1.439995% 
UnitedHealth Group - Price: 768783.000000     Price change: 2.059997% 
JPMorgan Chase - Price: 501476.562500     Price change: -3.269998% 
McDonalds - Price: 2302479.750000     Price change: 2.499998% 
Coca-Cola - Price: 879189.937500     Price change: 0.220003% 
Microsoft - Price: 601935.125000     Price change: 2.929995% 
AT&T - Price: 881014.437500     Price change: 5.270001% 
Day 923: 
ExxonMobil - Price: 665970.250000     Price change: 1.799999% 
Shermin-Williams - Price: 813197.937500     Price change: 1.829997% 
Boeing - Price: 171589.328125     Price change: 1.299998% 
Duke Energy - Price: 663703.312500     Price change: 2.970001% 
UnitedHealth Group - Price: 814218.062500     Price change: 5.909998% 
JPMorgan Chase - Price: 500573.906250     Price change: -0.180000% 
McDonalds - Price: 2308236.000000     Price change: 0.250002% 
Coca-Cola - Price: 871541.000000     Price change: -0.869998% 
Microsoft - Price: 603740.937500     Price change: 0.300001% 
AT&T - Price: 878459.500000     Price change: -0.290000% 
Day 924: 
ExxonMobil - Price: 702731.812500     Price change: 5.520001% 
Shermin-Williams - Price: 793925.125000     Price change: -2.370003% 
Boeing - Price: 170697.062500     Price change: -0.520001% 
Duke Energy - Price: 659322.875000     Price change: -0.659999% 
UnitedHealth Group - Price: 838888.875000     Price change: 3.030001% 
JPMorgan Chase - Price: 499672.875000     Price change: -0.180000% 
McDonalds - Price: 2390870.750000     Price change: 3.579996% 
Coca-Cola - Price: 883742.562500     Price change: 1.399999% 
Microsoft - Price: 600058.125000     Price change: -0.609999% 
AT&T - Price: 889264.562500     Price change: 1.230001% 
Day 925: 
ExxonMobil - Price: 707088.750000     Price change: 0.620000% 
Shermin-Williams - Price: 787970.687500     Price change: -0.750000% 
Boeing - Price: 171533.484375     Price change: 0.490004% 
Duke Energy - Price: 663212.875000     Price change: 0.589999% 
UnitedHealth Group - Price: 834526.625000     Price change: -0.520003% 
JPMorgan Chase - Price: 505668.937500     Price change: 1.199998% 
McDonalds - Price: 2409758.750000     Price change: 0.790005% 
Coca-Cola - Price: 915203.812500     Price change: 3.560002% 
Microsoft - Price: 601318.250000     Price change: 0.210000% 
AT&T - Price: 864454.062500     Price change: -2.790002% 
Day 926: 
ExxonMobil - Price: 714725.312500     Price change: 1.080001% 
Shermin-Williams - Price: 788522.250000     Price change: 0.069998% 
Boeing - Price: 171979.468750     Price change: 0.259998% 
Duke Energy - Price: 670309.250000     Price change: 1.070000% 
UnitedHealth Group - Price: 841953.937500     Price change: 0.890003% 
JPMorgan Chase - Price: 508045.593750     Price change: 0.470002% 
McDonalds - Price: 2479159.750000     Price change: 2.879998% 
Coca-Cola - Price: 905136.562500     Price change: -1.100001% 
Microsoft - Price: 611119.750000     Price change: 1.630002% 
AT&T - Price: 879063.312500     Price change: 1.689997% 
Day 927: 
ExxonMobil - Price: 720657.562500     Price change: 0.830004% 
Shermin-Williams - Price: 809339.250000     Price change: 2.640002% 
Boeing - Price: 177551.609375     Price change: 3.240003% 
Duke Energy - Price: 666421.437500     Price change: -0.580003% 
UnitedHealth Group - Price: 847595.000000     Price change: 0.669997% 
JPMorgan Chase - Price: 504032.031250     Price change: -0.790000% 
McDonalds - Price: 2422387.000000     Price change: -2.290000% 
Coca-Cola - Price: 913644.875000     Price change: 0.940003% 
Microsoft - Price: 616008.687500     Price change: 0.799997% 
AT&T - Price: 884513.500000     Price change: 0.619999% 
Day 928: 
ExxonMobil - Price: 741052.187500     Price change: 2.830002% 
Shermin-Williams - Price: 819375.062500     Price change: 1.240001% 
Boeing - Price: 176379.765625     Price change: -0.660002% 
Duke Energy - Price: 660357.000000     Price change: -0.910000% 
UnitedHealth Group - Price: 870225.812500     Price change: 2.670003% 
JPMorgan Chase - Price: 532308.250000     Price change: 5.610004% 
McDonalds - Price: 2439586.000000     Price change: 0.710002% 
Coca-Cola - Price: 910447.125000     Price change: -0.349999% 
Microsoft - Price: 616131.875000     Price change: 0.019998% 
AT&T - Price: 892739.500000     Price change: 0.930003% 
Day 929: 
ExxonMobil - Price: 746610.062500     Price change: 0.749998% 
Shermin-Williams - Price: 823308.062500     Price change: 0.480000% 
Boeing - Price: 178073.015625     Price change: 0.960002% 
Duke Energy - Price: 663262.562500     Price change: 0.439999% 
UnitedHealth Group - Price: 878492.937500     Price change: 0.949998% 
JPMorgan Chase - Price: 532414.687500     Price change: 0.019995% 
McDonalds - Price: 2529362.750000     Price change: 3.679999% 
Coca-Cola - Price: 910720.250000     Price change: 0.029999% 
Microsoft - Price: 628269.687500     Price change: 1.970002% 
AT&T - Price: 897381.750000     Price change: 0.520001% 
Day 930: 
ExxonMobil - Price: 787449.625000     Price change: 5.469999% 
Shermin-Williams - Price: 849571.562500     Price change: 3.189997% 
Boeing - Price: 182400.187500     Price change: 2.429999% 
Duke Energy - Price: 664191.125000     Price change: 0.139999% 
UnitedHealth Group - Price: 851786.750000     Price change: -3.040000% 
JPMorgan Chase - Price: 533373.062500     Price change: 0.180005% 
McDonalds - Price: 2561485.750000     Price change: 1.270004% 
Coca-Cola - Price: 912359.562500     Price change: 0.180002% 
Microsoft - Price: 638384.812500     Price change: 1.609997% 
AT&T - Price: 879703.312500     Price change: -1.970002% 
Day 931: 
ExxonMobil - Price: 796899.000000     Price change: 1.199997% 
Shermin-Williams - Price: 848467.125000     Price change: -0.129999% 
Boeing - Price: 184880.828125     Price change: 1.359999% 
Duke Energy - Price: 683585.500000     Price change: 2.919999% 
UnitedHealth Group - Price: 873848.000000     Price change: 2.589997% 
JPMorgan Chase - Price: 541320.312500     Price change: 1.489998% 
McDonalds - Price: 2551752.000000     Price change: -0.380004% 
Coca-Cola - Price: 887178.437500     Price change: -2.760000% 
Microsoft - Price: 651535.562500     Price change: 2.060004% 
AT&T - Price: 875656.687500     Price change: -0.459999% 
Day 932: 
ExxonMobil - Price: 800963.187500     Price change: 0.510000% 
Shermin-Williams - Price: 850673.125000     Price change: 0.259998% 
Boeing - Price: 186544.750000     Price change: 0.899997% 
Duke Energy - Price: 690763.125000     Price change: 1.049997% 
UnitedHealth Group - Price: 874372.312500     Price change: 0.060000% 
JPMorgan Chase - Price: 544568.250000     Price change: 0.600003% 
McDonalds - Price: 2581862.750000     Price change: 1.180003% 
Coca-Cola - Price: 875378.937500     Price change: -1.330003% 
Microsoft - Price: 670690.687500     Price change: 2.939997% 
AT&T - Price: 874868.625000     Price change: -0.089997% 
Day 933: 
ExxonMobil - Price: 809613.562500     Price change: 1.079997% 
Shermin-Williams - Price: 847185.375000     Price change: -0.409999% 
Boeing - Price: 187682.671875     Price change: 0.609999% 
Duke Energy - Price: 678812.937500     Price change: -1.729998% 
UnitedHealth Group - Price: 876645.687500     Price change: 0.260001% 
JPMorgan Chase - Price: 545766.312500     Price change: 0.220002% 
McDonalds - Price: 2596579.250000     Price change: 0.569995% 
Coca-Cola - Price: 880543.687500     Price change: 0.590002% 
Microsoft - Price: 666934.812500     Price change: -0.560001% 
AT&T - Price: 905576.500000     Price change: 3.509998% 
Day 934: 
ExxonMobil - Price: 823943.750000     Price change: 1.770003% 
Shermin-Williams - Price: 841085.625000     Price change: -0.720002% 
Boeing - Price: 188846.296875     Price change: 0.619996% 
Duke Energy - Price: 675622.500000     Price change: -0.470002% 
UnitedHealth Group - Price: 899350.812500     Price change: 2.590000% 
JPMorgan Chase - Price: 546257.500000     Price change: 0.090000% 
McDonalds - Price: 2605927.000000     Price change: 0.360002% 
Coca-Cola - Price: 905991.375000     Price change: 2.889997% 
Microsoft - Price: 684008.312500     Price change: 2.559995% 
AT&T - Price: 911825.000000     Price change: 0.690002% 
Day 935: 
ExxonMobil - Price: 824026.125000     Price change: 0.009998% 
Shermin-Williams - Price: 854879.437500     Price change: 1.640001% 
Boeing - Price: 199100.656250     Price change: 5.430003% 
Duke Energy - Price: 686297.312500     Price change: 1.579997% 
UnitedHealth Group - Price: 894314.437500     Price change: -0.560001% 
JPMorgan Chase - Price: 551119.187500     Price change: 0.889999% 
McDonalds - Price: 2637198.000000     Price change: 1.199995% 
Coca-Cola - Price: 907803.375000     Price change: 0.200002% 
Microsoft - Price: 685239.500000     Price change: 0.179996% 
AT&T - Price: 938359.125000     Price change: 2.910002% 
Day 936: 
ExxonMobil - Price: 858717.625000     Price change: 4.210000% 
Shermin-Williams - Price: 854623.000000     Price change: -0.029997% 
Boeing - Price: 202545.093750     Price change: 1.729998% 
Duke Energy - Price: 690346.437500     Price change: 0.589996% 
UnitedHealth Group - Price: 890290.000000     Price change: -0.450003% 
JPMorgan Chase - Price: 538057.687500     Price change: -2.369996% 
McDonalds - Price: 2629813.750000     Price change: -0.280004% 
Coca-Cola - Price: 922963.687500     Price change: 1.670000% 
Microsoft - Price: 678866.750000     Price change: -0.930003% 
AT&T - Price: 952903.687500     Price change: 1.550000% 
Day 937: 
ExxonMobil - Price: 883276.937500     Price change: 2.859999% 
Shermin-Williams - Price: 861118.125000     Price change: 0.759999% 
Boeing - Price: 201876.687500     Price change: -0.330004% 
Duke Energy - Price: 700011.312500     Price change: 1.400004% 
UnitedHealth Group - Price: 896789.125000     Price change: 0.730001% 
JPMorgan Chase - Price: 549572.125000     Price change: 2.140001% 
McDonalds - Price: 2639281.000000     Price change: 0.359997% 
Coca-Cola - Price: 932470.187500     Price change: 1.029997% 
Microsoft - Price: 679002.500000     Price change: 0.019997% 
AT&T - Price: 946995.687500     Price change: -0.620000% 
Day 938: 
ExxonMobil - Price: 900235.875000     Price change: 1.920002% 
Shermin-Williams - Price: 862582.000000     Price change: 0.169997% 
Boeing - Price: 201573.875000     Price change: -0.149999% 
Duke Energy - Price: 698891.312500     Price change: -0.159997% 
UnitedHealth Group - Price: 897954.937500     Price change: 0.129999% 
JPMorgan Chase - Price: 555012.875000     Price change: 0.989997% 
McDonalds - Price: 2675439.250000     Price change: 1.370004% 
Coca-Cola - Price: 928460.562500     Price change: -0.430000% 
Microsoft - Price: 707724.312500     Price change: 4.230001% 
AT&T - Price: 950878.375000     Price change: 0.410001% 
Day 939: 
ExxonMobil - Price: 885201.937500     Price change: -1.670000% 
Shermin-Williams - Price: 887596.875000     Price change: 2.900000% 
Boeing - Price: 203005.046875     Price change: 0.709999% 
Duke Energy - Price: 704342.687500     Price change: 0.780003% 
UnitedHealth Group - Price: 907652.875000     Price change: 1.080003% 
JPMorgan Chase - Price: 576214.375000     Price change: 3.820001% 
McDonalds - Price: 2775500.750000     Price change: 3.740003% 
Coca-Cola - Price: 930410.312500     Price change: 0.209998% 
Microsoft - Price: 713952.312500     Price change: 0.880004% 
AT&T - Price: 942035.187500     Price change: -0.930002% 
Day 940: 
ExxonMobil - Price: 902640.437500     Price change: 1.970002% 
Shermin-Williams - Price: 905437.562500     Price change: 2.009999% 
Boeing - Price: 208709.484375     Price change: 2.809998% 
Duke Energy - Price: 731812.062500     Price change: 3.900001% 
UnitedHealth Group - Price: 904022.250000     Price change: -0.400001% 
JPMorgan Chase - Price: 573448.562500     Price change: -0.479997% 
McDonalds - Price: 2828512.750000     Price change: 1.909998% 
Coca-Cola - Price: 931805.937500     Price change: 0.150001% 
Microsoft - Price: 716736.750000     Price change: 0.390003% 
AT&T - Price: 959651.250000     Price change: 1.870000% 
Day 941: 
ExxonMobil - Price: 912930.562500     Price change: 1.140003% 
Shermin-Williams - Price: 901091.437500     Price change: -0.480003% 
Boeing - Price: 212299.281250     Price change: 1.719997% 
Duke Energy - Price: 724713.500000     Price change: -0.969998% 
UnitedHealth Group - Price: 897784.500000     Price change: -0.690000% 
JPMorgan Chase - Price: 585720.375000     Price change: 2.140002% 
McDonalds - Price: 2804753.250000     Price change: -0.840000% 
Coca-Cola - Price: 970475.875000     Price change: 4.149999% 
Microsoft - Price: 700753.500000     Price change: -2.230003% 
AT&T - Price: 960131.062500     Price change: 0.049999% 
Day 942: 
ExxonMobil - Price: 921055.625000     Price change: 0.889998% 
Shermin-Williams - Price: 899649.687500     Price change: -0.160000% 
Boeing - Price: 215505.000000     Price change: 1.510000% 
Duke Energy - Price: 713552.937500     Price change: -1.539996% 
UnitedHealth Group - Price: 915470.875000     Price change: 1.970002% 
JPMorgan Chase - Price: 594096.187500     Price change: 1.430002% 
McDonalds - Price: 2862531.250000     Price change: 2.060003% 
Coca-Cola - Price: 961159.312500     Price change: -0.959999% 
Microsoft - Price: 712876.562500     Price change: 1.730004% 
AT&T - Price: 959266.937500     Price change: -0.090001% 
Day 943: 
ExxonMobil - Price: 936713.562500     Price change: 1.699999% 
Shermin-Williams - Price: 907206.750000     Price change: 0.840001% 
Boeing - Price: 221366.734375     Price change: 2.719999% 
Duke Energy - Price: 734103.250000     Price change: 2.879998% 
UnitedHealth Group - Price: 916294.812500     Price change: 0.090001% 
JPMorgan Chase - Price: 602354.125000     Price change: 1.390000% 
McDonalds - Price: 2834764.750000     Price change: -0.969998% 
Coca-Cola - Price: 969040.812500     Price change: 0.819999% 
Microsoft - Price: 721930.125000     Price change: 1.270004% 
AT&T - Price: 954470.625000     Price change: -0.499998% 
Day 944: 
ExxonMobil - Price: 928564.125000     Price change: -0.870003% 
Shermin-Williams - Price: 897046.062500     Price change: -1.119997% 
Boeing - Price: 220038.531250     Price change: -0.600001% 
Duke Energy - Price: 752382.437500     Price change: 2.490002% 
UnitedHealth Group - Price: 935078.875000     Price change: 2.050002% 
JPMorgan Chase - Price: 597595.500000     Price change: -0.790005% 
McDonalds - Price: 2847521.250000     Price change: 0.450002% 
Coca-Cola - Price: 960707.062500     Price change: -0.860000% 
Microsoft - Price: 715360.562500     Price change: -0.910000% 
AT&T - Price: 980336.750000     Price change: 2.709997% 
Day 945: 
ExxonMobil - Price: 951685.375000     Price change: 2.490000% 
Shermin-Williams - Price: 907810.625000     Price change: 1.200001% 
Boeing - Price: 219818.500000     Price change: -0.099997% 
Duke Energy - Price: 756821.500000     Price change: 0.590001% 
UnitedHealth Group - Price: 970798.875000     Price change: 3.819999% 
JPMorgan Chase - Price: 621081.000000     Price change: 3.929999% 
McDonalds - Price: 2834422.750000     Price change: -0.459997% 
Coca-Cola - Price: 981650.500000     Price change: 2.180002% 
Microsoft - Price: 724731.812500     Price change: 1.310004% 
AT&T - Price: 991316.500000     Price change: 1.119998% 
Day 946: 
ExxonMobil - Price: 942929.875000     Price change: -0.919999% 
Shermin-Williams - Price: 913529.812500     Price change: 0.629998% 
Boeing - Price: 224039.015625     Price change: 1.920000% 
Duke Energy - Price: 766433.125000     Price change: 1.269999% 
UnitedHealth Group - Price: 974002.500000     Price change: 0.329999% 
JPMorgan Chase - Price: 644185.187500     Price change: 3.719996% 
McDonalds - Price: 2781419.000000     Price change: -1.870002% 
Coca-Cola - Price: 980276.187500     Price change: -0.140000% 
Microsoft - Price: 728138.062500     Price change: 0.470001% 
AT&T - Price: 1008367.125000     Price change: 1.719998% 
Day 947: 
ExxonMobil - Price: 957922.437500     Price change: 1.589998% 
Shermin-Williams - Price: 907043.750000     Price change: -0.710000% 
Boeing - Price: 219625.453125     Price change: -1.969997% 
Duke Energy - Price: 786437.000000     Price change: 2.609996% 
UnitedHealth Group - Price: 970788.312500     Price change: -0.329998% 
JPMorgan Chase - Price: 648694.500000     Price change: 0.700003% 
McDonalds - Price: 2742201.000000     Price change: -1.410000% 
Coca-Cola - Price: 998509.312500     Price change: 1.859999% 
Microsoft - Price: 729303.062500     Price change: 0.159997% 
AT&T - Price: 1074213.500000     Price change: 6.530000% 
Day 948: 
ExxonMobil - Price: 964053.125000     Price change: 0.639998% 
Shermin-Williams - Price: 919288.812500     Price change: 1.349997% 
Boeing - Price: 227729.625000     Price change: 3.689997% 
Duke Energy - Price: 793043.062500     Price change: 0.839999% 
UnitedHealth Group - Price: 987388.812500     Price change: 1.710002% 
JPMorgan Chase - Price: 648564.750000     Price change: -0.020002% 
McDonalds - Price: 2790738.000000     Price change: 1.770002% 
Coca-Cola - Price: 998209.750000     Price change: -0.030001% 
Microsoft - Price: 745785.312500     Price change: 2.260000% 
AT&T - Price: 1065082.625000     Price change: -0.850006% 
Day 949: 
ExxonMobil - Price: 957786.750000     Price change: -0.650003% 
Shermin-Williams - Price: 944477.312500     Price change: 2.739999% 
Boeing - Price: 225998.875000     Price change: -0.760002% 
Duke Energy - Price: 800814.875000     Price change: 0.979999% 
UnitedHealth Group - Price: 999731.187500     Price change: 1.250002% 
JPMorgan Chase - Price: 687024.625000     Price change: 5.929998% 
McDonalds - Price: 2840971.250000     Price change: 1.799999% 
Coca-Cola - Price: 1000405.812500     Price change: 0.220000% 
Microsoft - Price: 745859.875000     Price change: 0.009998% 
AT&T - Price: 1066999.750000     Price change: 0.179998% 
Day 950: 
ExxonMobil - Price: 983263.875000     Price change: 2.660000% 
Shermin-Williams - Price: 940321.625000     Price change: -0.439999% 
Boeing - Price: 228145.859375     Price change: 0.949998% 
Duke Energy - Price: 798973.000000     Price change: -0.230000% 
UnitedHealth Group - Price: 1001230.812500     Price change: 0.150003% 
JPMorgan Chase - Price: 746933.187500     Price change: 8.720002% 
McDonalds - Price: 2892677.000000     Price change: 1.820003% 
Coca-Cola - Price: 1005307.812500     Price change: 0.490001% 
Microsoft - Price: 761522.937500     Price change: 2.100001% 
AT&T - Price: 1061664.750000     Price change: -0.500000% 
Day 951: 
ExxonMobil - Price: 988278.500000     Price change: 0.509998% 
Shermin-Williams - Price: 933645.312500     Price change: -0.710003% 
Boeing - Price: 234328.609375     Price change: 2.709999% 
Duke Energy - Price: 801689.500000     Price change: 0.339999% 
UnitedHealth Group - Price: 1012244.375000     Price change: 1.100002% 
JPMorgan Chase - Price: 754253.125000     Price change: 0.979999% 
McDonalds - Price: 2869824.750000     Price change: -0.790004% 
Coca-Cola - Price: 1017773.625000     Price change: 1.240000% 
Microsoft - Price: 758705.312500     Price change: -0.369999% 
AT&T - Price: 1071644.375000     Price change: 0.939998% 
Day 952: 
ExxonMobil - Price: 1062004.125000     Price change: 7.460005% 
Shermin-Williams - Price: 964642.312500     Price change: 3.319997% 
Boeing - Price: 238171.593750     Price change: 1.639998% 
Duke Energy - Price: 780765.375000     Price change: -2.610004% 
UnitedHealth Group - Price: 1005158.687500     Price change: -0.699998% 
JPMorgan Chase - Price: 758929.500000     Price change: 0.620001% 
McDonalds - Price: 2909141.250000     Price change: 1.369997% 
Coca-Cola - Price: 1024389.125000     Price change: 0.649997% 
Microsoft - Price: 773424.187500     Price change: 1.939999% 
AT&T - Price: 1070036.875000     Price change: -0.150003% 
Day 953: 
ExxonMobil - Price: 1051808.875000     Price change: -0.960001% 
Shermin-Williams - Price: 963195.375000     Price change: -0.149997% 
Boeing - Price: 241529.812500     Price change: 1.410000% 
Duke Energy - Price: 784278.812500     Price change: 0.449999% 
UnitedHealth Group - Price: 1071800.750000     Price change: 6.630004% 
JPMorgan Chase - Price: 757867.000000     Price change: -0.140000% 
McDonalds - Price: 2955105.750000     Price change: 1.580002% 
Coca-Cola - Price: 1008101.312500     Price change: -1.590002% 
Microsoft - Price: 792991.812500     Price change: 2.529999% 
AT&T - Price: 1064579.625000     Price change: -0.510006% 
Day 954: 
ExxonMobil - Price: 1075579.750000     Price change: 2.259999% 
Shermin-Williams - Price: 969745.125000     Price change: 0.680002% 
Boeing - Price: 241674.734375     Price change: 0.060002% 
Duke Energy - Price: 762554.312500     Price change: -2.769997% 
UnitedHealth Group - Price: 1070193.000000     Price change: -0.150005% 
JPMorgan Chase - Price: 758549.062500     Price change: 0.089998% 
McDonalds - Price: 2997659.250000     Price change: 1.439999% 
Coca-Cola - Price: 1030077.937500     Price change: 2.180002% 
Microsoft - Price: 793626.187500     Price change: 0.079998% 
AT&T - Price: 1095878.250000     Price change: 2.939998% 
Day 955: 
ExxonMobil - Price: 1081603.000000     Price change: 0.560000% 
Shermin-Williams - Price: 968193.562500     Price change: -0.159997% 
Boeing - Price: 247764.937500     Price change: 2.520000% 
Duke Energy - Price: 784592.125000     Price change: 2.889999% 
UnitedHealth Group - Price: 1103369.000000     Price change: 3.100002% 
JPMorgan Chase - Price: 769168.750000     Price change: 1.400000% 
McDonalds - Price: 3043823.250000     Price change: 1.540002% 
Coca-Cola - Price: 1035331.312500     Price change: 0.509998% 
Microsoft - Price: 801086.250000     Price change: 0.939997% 
AT&T - Price: 1103111.000000     Price change: 0.659996% 
Day 956: 
ExxonMobil - Price: 1085388.625000     Price change: 0.350001% 
Shermin-Williams - Price: 965579.437500     Price change: -0.270000% 
Boeing - Price: 250886.781250     Price change: 1.260002% 
Duke Energy - Price: 821467.937500     Price change: 4.699998% 
UnitedHealth Group - Price: 1148386.500000     Price change: 4.080004% 
JPMorgan Chase - Price: 769861.000000     Price change: 0.090000% 
McDonalds - Price: 3073348.250000     Price change: 0.969997% 
Coca-Cola - Price: 1007377.375000     Price change: -2.699999% 
Microsoft - Price: 794837.750000     Price change: -0.780003% 
AT&T - Price: 1136866.250000     Price change: 3.060005% 
Day 957: 
ExxonMobil - Price: 1081372.625000     Price change: -0.370006% 
Shermin-Williams - Price: 962875.812500     Price change: -0.280000% 
Boeing - Price: 263606.750000     Price change: 5.070004% 
Duke Energy - Price: 832475.625000     Price change: 1.340002% 
UnitedHealth Group - Price: 1154128.375000     Price change: 0.499995% 
JPMorgan Chase - Price: 784103.437500     Price change: 1.850001% 
McDonalds - Price: 3083183.000000     Price change: 0.320001% 
Coca-Cola - Price: 1019163.687500     Price change: 1.170000% 
Microsoft - Price: 795076.187500     Price change: 0.029998% 
AT&T - Price: 1153237.125000     Price change: 1.440000% 
Day 958: 
